# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.5218045113	0.2977315946	0.4058139054	1.363019286	1.024195854	1.023728843
0.5248120301	0.2977721345	0.4058681203	1.363015787	1.024335312	1.023865609
0.5278195489	0.2978126745	0.4059223353	1.363012289	1.024474769	1.024002374
0.5308270677	0.2978532145	0.4059765502	1.363008793	1.024614226	1.02413914
0.5338345865	0.2978937544	0.4060307652	1.363005297	1.024753684	1.024275906
0.5368421053	0.2979342944	0.4060849801	1.363001802	1.024893141	1.024412671
0.5398496241	0.2979748344	0.4061391951	1.362998308	1.025032598	1.024549437
0.5428571429	0.2980153743	0.40619341	1.362994815	1.025172056	1.024686203
0.5458646617	0.2980559143	0.406247625	1.362991323	1.025311513	1.024822968
0.5488721805	0.2980964543	0.4063018399	1.362987832	1.025450971	1.024959734
0.5518796992	0.2981369942	0.4063560549	1.362984342	1.025590428	1.0250965
0.554887218	0.2981775342	0.4064102698	1.362980853	1.025729885	1.025233265
0.5578947368	0.2982180742	0.4064644848	1.362977365	1.025869343	1.025370031
0.5609022556	0.2982586141	0.4065186997	1.362973877	1.0260088	1.025506797
0.5639097744	0.2982991541	0.4065729147	1.362970391	1.026148257	1.025643562
0.5669172932	0.2983396941	0.4066271296	1.362966906	1.026287715	1.025780328
0.569924812	0.298380234	0.4066813446	1.362963421	1.026427172	1.025917094
0.5729323308	0.298420774	0.4067355595	1.362959938	1.02656663	1.026053859
0.5759398496	0.298461314	0.4067897745	1.362956455	1.026706087	1.026190625
0.5789473684	0.2985018539	0.4068439894	1.362952974	1.026845544	1.026327391
0.5819548872	0.2985423939	0.4068982044	1.362949493	1.026985002	1.026464156
0.584962406	0.2985829339	0.4069524193	1.362946013	1.027124459	1.026600922
0.5879699248	0.2986234738	0.4070066343	1.362942535	1.027263916	1.026737688
0.5909774436	0.2986640138	0.4070608492	1.362939057	1.027403374	1.026874453
0.5939849624	0.2987045538	0.4071150642	1.36293558	1.027542831	1.027011219
0.5969924812	0.2987450937	0.4071692791	1.362932104	1.027682289	1.027147985
0.6	0.2987856337	0.4072234941	1.362928629	1.027821746	1.02728475
0.6030075188	0.2988261737	0.407277709	1.362925155	1.027961203	1.027421516
0.6060150376	0.2988667136	0.407331924	1.362921682	1.028100661	1.027558282
0.6090225564	0.2989072536	0.407386139	1.36291821	1.028240118	1.027695047
0.6120300752	0.2989477936	0.4074403539	1.362914739	1.028379575	1.027831813
0.615037594	0.2989883335	0.4074945689	1.362911268	1.028519033	1.027968579
0.6180451128	0.2990288735	0.4075487838	1.362907799	1.02865849	1.028105344
0.6210526316	0.2990694135	0.4076029988	1.362904331	1.028797948	1.02824211
0.6240601504	0.2991099534	0.4076572137	1.362900863	1.028937405	1.028378876
0.6270676692	0.2991504934	0.4077114287	1.362897397	1.029076862	1.028515641
0.630075188	0.2991910334	0.4077656436	1.362893931	1.02921632	1.028652407
0.6330827068	0.2992315733	0.4078198586	1.362890466	1.029355777	1.028789173
0.6360902256	0.2992721133	0.4078740735	1.362887003	1.029495234	1.028925938
0.6390977444	0.2993126533	0.4079282885	1.36288354	1.029634692	1.029062704
0.6421052632	0.2993531932	0.4079825034	1.362880078	1.029774149	1.02919947
0.645112782	0.2993937332	0.4080367184	1.362876617	1.029913607	1.029336235
0.6481203008	0.2994342732	0.4080909333	1.362873157	1.030053064	1.029473001
0.6511278195	0.2994748131	0.4081451483	1.362869698	1.030192521	1.029609767
0.6541353383	0.2995153531	0.4081993632	1.36286624	1.030331979	1.029746532
0.6571428571	0.2995558931	0.4082535782	1.362862783	1.030471436	1.029883298
0.6601503759	0.299596433	0.4083077931	1.362859327	1.030610893	1.030020064
0.6631578947	0.299636973	0.4083620081	1.362855872	1.030750351	1.030156829
0.6661654135	0.299677513	0.408416223	1.362852417	1.030889808	1.030293595
0.6691729323	0.2997180529	0.408470438	1.362848964	1.031029265	1.030430361
0.6721804511	0.2997585929	0.4085246529	1.362845512	1.031168723	1.030567126
0.6751879699	0.2997991329	0.4085788679	1.36284206	1.03130818	1.030703892
0.6781954887	0.2998396728	0.4086330828	1.36283861	1.031447638	1.030840658
0.6812030075	0.2998802128	0.4086872978	1.36283516	1.031587095	1.030977423
