# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 14.0
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-12.43589744	0.3333333333	1.428348683	1.777521659	1.2444592	4.67530721	4.259810564
-12.43589744	0.3846153846	1.461111164	1.81626018	1.243067759	4.782546194	4.352646992
-12.43589744	0.4358974359	1.493873644	1.854998702	1.241737351	4.889785178	4.445483419
-12.43589744	0.4871794872	1.526636125	1.893737223	1.240464045	4.997024161	4.538319847
-12.43589744	0.5384615385	1.559398605	1.932475744	1.239244243	5.104263145	4.631156275
-12.43589744	0.5897435897	1.592161086	1.971214265	1.238074641	5.211502129	4.723992703
-12.43589744	0.641025641	1.624923566	2.009952786	1.236952203	5.318741113	4.81682913
-12.43589744	0.6923076923	1.657686047	2.048691307	1.235874133	5.425980097	4.909665558
-12.43589744	0.7435897436	1.690448527	2.087429828	1.234837852	5.533219081	5.002501986
-12.43589744	0.7948717949	1.723211008	2.126168349	1.233840974	5.640458065	5.095338414
-12.43589744	0.8461538462	1.755973488	2.16490687	1.232881296	5.747697049	5.188174841
-12.43589744	0.8974358974	1.788735969	2.203645391	1.231956772	5.854936033	5.281011269
-12.43589744	0.9487179487	1.82149845	2.242383912	1.231065507	5.962175017	5.373847697
-12.43589744	1	1.85426093	2.281122433	1.230205736	6.069414001	5.466684125
-11.92307692	-1	0.5390032197	0.7246110771	1.344353894	1.764279037	1.736522255
-11.92307692	-0.9487179487	0.5717657002	0.7633495981	1.335074136	1.871518021	1.829358683
-11.92307692	-0.8974358974	0.6045281808	0.8020881191	1.326800213	1.978757005	1.922195111
-11.92307692	-0.8461538462	0.6372906613	0.8408266402	1.319376999	2.085995989	2.015031539
-11.92307692	-0.7948717949	0.6700531419	0.8795651612	1.312679706	2.193234973	2.107867966
-11.92307692	-0.7435897436	0.7028156224	0.9183036822	1.306606815	2.300473957	2.200704394
-11.92307692	-0.6923076923	0.7355781029	0.9570422033	1.301074895	2.407712941	2.293540822
-11.92307692	-0.641025641	0.7683405835	0.9957807243	1.296014744	2.514951925	2.38637725
-11.92307692	-0.5897435897	0.801103064	1.034519245	1.291368479	2.622190909	2.479213677
-11.92307692	-0.5384615385	0.8338655446	1.073257766	1.287087317	2.729429892	2.572050105
-11.92307692	-0.4871794872	0.8666280251	1.111996287	1.283129849	2.836668876	2.664886533
-11.92307692	-0.4358974359	0.8993905057	1.150734808	1.279460703	2.94390786	2.757722961
-11.92307692	-0.3846153846	0.9321529862	1.189473329	1.276049476	3.051146844	2.850559388
-11.92307692	-0.3333333333	0.9649154667	1.22821185	1.272869897	3.158385828	2.943395816
-11.92307692	-0.2820512821	0.9976779473	1.266950372	1.269899144	3.265624812	3.036232244
-11.92307692	-0.2307692308	1.030440428	1.305688893	1.2671173	3.372863796	3.129068672
-11.92307692	-0.1794871795	1.063202908	1.344427414	1.2645069	3.48010278	3.221905099
-11.92307692	-0.1282051282	1.095965389	1.383165935	1.262052569	3.587341764	3.314741527
-11.92307692	-0.07692307692	1.128727869	1.421904456	1.259740717	3.694580748	3.407577955
-11.92307692	-0.02564102564	1.16149035	1.460642977	1.257559287	3.801819732	3.500414383
-11.92307692	0.02564102564	1.194252831	1.499381498	1.255497546	3.909058716	3.59325081
-11.92307692	0.07692307692	1.227015311	1.538120019	1.253545905	4.0162977	3.686087238
-11.92307692	0.1282051282	1.259777792	1.57685854	1.251695775	4.123536684	3.778923666
-11.92307692	0.1794871795	1.292540272	1.615597061	1.249939438	4.230775668	3.871760094
-11.92307692	0.2307692308	1.325302753	1.654335582	1.248269936	4.338014651	3.964596521
-11.92307692	0.2820512821	1.358065233	1.693074103	1.246680985	4.445253635	4.057432949
-11.92307692	0.3333333333	1.390827714	1.731812624	1.245166894	4.552492619	4.150269377
-11.92307692	0.3846153846	1.423590194	1.770551145	1.243722493	4.659731603	4.243105805
-11.92307692	0.4358974359	1.456352675	1.809289666	1.242343079	4.766970587	4.335942232
-11.92307692	0.4871794872	1.489115155	1.848028187	1.241024363	4.874209571	4.42877866
-11.92307692	0.5384615385	1.521877636	1.886766708	1.239762425	4.981448555	4.521615088
-11.92307692	0.5897435897	1.554640116	1.925505229	1.238553675	5.088687539	4.614451516
-11.92307692	0.641025641	1.587402597	1.96424375	1.23739482	5.195926523	4.707287943
-11.92307692	0.6923076923	1.620165078	2.002982271	1.236282832	5.303165507	4.800124371
-11.92307692	0.7435897436	1.652927558	2.041720792	1.235214926	5.410404491	4.892960799
-11.92307692	0.7948717949	1.685690039	2.080459313	1.234188531	5.517643475	4.985797227
-11.92307692	0.8461538462	1.718452519	2.119197834	1.233201273	5.624882459	5.078633654
-11.92307692	0.8974358974	1.751215	2.157936355	1.232250955	5.732121443	5.171470082
-11.92307692	0.9487179487	1.78397748	2.196674876	1.231335541	5.839360427	5.26430651
-11.92307692	1	1.816739961	2.235413397	1.230453144	5.946599411	5.357142938
