# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.3443609023	0.5255103426	0.6774077863	1.289047487	1.720113809	1.623400102
0.3473684211	0.5274317512	0.6796796695	1.288658993	1.726403012	1.628844645
0.3503759398	0.5293531598	0.6819515527	1.28827332	1.732692216	1.634289187
0.3533834586	0.5312745685	0.6842234359	1.287890436	1.738981419	1.63973373
0.3563909774	0.5331959771	0.686495319	1.287510312	1.745270623	1.645178272
0.3593984962	0.5351173857	0.6887672022	1.287132918	1.751559827	1.650622814
0.362406015	0.5370387944	0.6910390854	1.286758224	1.75784903	1.656067357
0.3654135338	0.538960203	0.6933109686	1.286386202	1.764138234	1.661511899
0.3684210526	0.5408816116	0.6955828518	1.286016823	1.770427437	1.666956442
0.3714285714	0.5428030203	0.697854735	1.285650059	1.776716641	1.672400984
0.3744360902	0.5447244289	0.7001266182	1.285285882	1.783005844	1.677845526
0.377443609	0.5466458375	0.7023985014	1.284924266	1.789295048	1.683290069
0.3804511278	0.5485672462	0.7046703846	1.284565182	1.795584252	1.688734611
0.3834586466	0.5504886548	0.7069422677	1.284208606	1.801873455	1.694179153
0.3864661654	0.5524100634	0.7092141509	1.283854509	1.808162659	1.699623696
0.3894736842	0.5543314721	0.7114860341	1.283502868	1.814451862	1.705068238
0.392481203	0.5562528807	0.7137579173	1.283153656	1.820741066	1.710512781
0.3954887218	0.5581742893	0.7160298005	1.282806848	1.827030269	1.715957323
0.3984962406	0.560095698	0.7183016837	1.282462419	1.833319473	1.721401865
0.4015037594	0.5620171066	0.7205735669	1.282120345	1.839608676	1.726846408
0.4045112782	0.5639385152	0.7228454501	1.281780603	1.84589788	1.73229095
