# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.02857142857	0.305102694	0.416733268	1.36587869	0.9986698919	0.9986965661
-0.02556390977	0.3051454687	0.41679052	1.365874845	0.9988099033	0.9988337697
-0.02255639098	0.3051882435	0.4168477719	1.365871002	0.9989499147	0.9989709733
-0.01954887218	0.3052310182	0.4169050238	1.365867159	0.999089926	0.9991081768
-0.01654135338	0.305273793	0.4169622757	1.365863318	0.9992299374	0.9992453804
-0.01353383459	0.3053165677	0.4170195276	1.365859477	0.9993699488	0.999382584
-0.01052631579	0.3053593425	0.4170767795	1.365855638	0.9995099602	0.9995197875
-0.007518796992	0.3054021172	0.4171340314	1.3658518	0.9996499716	0.9996569911
-0.004511278195	0.3054448919	0.4171912834	1.365847963	0.9997899829	0.9997941947
-0.001503759398	0.3054876667	0.4172485353	1.365844127	0.9999299943	0.9999313982
0.001503759398	0.3055304414	0.4173057872	1.365840291	1.000070006	1.000068602
0.004511278195	0.3055732162	0.4173630391	1.365836458	1.000210017	1.000205805
0.007518796992	0.3056159909	0.417420291	1.365832625	1.000350028	1.000343009
0.01052631579	0.3056587657	0.4174775429	1.365828793	1.00049004	1.000480212
0.01353383459	0.3057015404	0.4175347948	1.365824962	1.000630051	1.000617416
0.01654135338	0.3057443152	0.4175920468	1.365821132	1.000770063	1.00075462
0.01954887218	0.3057870899	0.4176492987	1.365817304	1.000910074	1.000891823
0.02255639098	0.3058298646	0.4177065506	1.365813476	1.001050085	1.001029027
0.02556390977	0.3058726394	0.4177638025	1.36580965	1.001190097	1.00116623
0.02857142857	0.3059154141	0.4178210544	1.365805824	1.001330108	1.001303434
0.03157894737	0.3059581889	0.4178783063	1.365802	1.001470119	1.001440637
