# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.1365914787	0.4239304198	0.509150531	1.201023817	1.428743808	1.422398105
0.1398496241	0.4269649044	0.5127570967	1.200934998	1.438970725	1.432473656
0.1431077694	0.4299993889	0.5163636624	1.200847433	1.449197641	1.442549207
0.1463659148	0.4330338735	0.5199702281	1.200761095	1.459424558	1.452624758
0.1496240602	0.4360683581	0.5235767938	1.200675958	1.469651474	1.462700309
0.1528822055	0.4391028426	0.5271833595	1.200591999	1.479878391	1.47277586
0.1561403509	0.4421373272	0.5307899252	1.200509191	1.490105307	1.482851411
0.1593984962	0.4451718117	0.5343964908	1.200427513	1.500332224	1.492926962
0.1626566416	0.4482062963	0.5380030565	1.200346941	1.51055914	1.503002514
0.165914787	0.4512407808	0.5416096222	1.200267452	1.520786057	1.513078065
0.1691729323	0.4542752654	0.5452161879	1.200189025	1.531012974	1.523153616
0.1724310777	0.4573097499	0.5488227536	1.200111639	1.54123989	1.533229167
0.1756892231	0.4603442345	0.5524293193	1.200035273	1.551466807	1.543304718
0.1789473684	0.463378719	0.556035885	1.199959908	1.561693723	1.553380269
0.1822055138	0.4664132036	0.5596424507	1.199885523	1.57192064	1.56345582
0.1854636591	0.4694476881	0.5632490164	1.1998121	1.582147556	1.573531371
0.1887218045	0.4724821727	0.5668555821	1.199739619	1.592374473	1.583606923
0.1919799499	0.4755166573	0.5704621478	1.199668064	1.602601389	1.593682474
0.1952380952	0.4785511418	0.5740687134	1.199597417	1.612828306	1.603758025
0.1984962406	0.4815856264	0.5776752791	1.199527659	1.623055222	1.613833576
0.201754386	0.4846201109	0.5812818448	1.199458776	1.633282139	1.623909127
0.2050125313	0.4876545955	0.5848884105	1.199390749	1.643509055	1.633984678
0.2082706767	0.49068908	0.5884949762	1.199323564	1.653735972	1.644060229
0.2115288221	0.4937235646	0.5921015419	1.199257205	1.663962888	1.65413578
0.2147869674	0.4967580491	0.5957081076	1.199191656	1.674189805	1.664211331
0.2180451128	0.4997925337	0.5993146733	1.199126903	1.684416721	1.674286883
0.2213032581	0.5028270182	0.602921239	1.199062932	1.694643638	1.684362434
0.2245614035	0.5058615028	0.6065278047	1.198999729	1.704870554	1.694437985
0.2278195489	0.5088959873	0.6101343704	1.198937279	1.715097471	1.704513536
0.2310776942	0.5119304719	0.613740936	1.19887557	1.725324388	1.714589087
0.2343358396	0.5149649564	0.6173475017	1.198814587	1.735551304	1.724664638
0.237593985	0.517999441	0.6209540674	1.19875432	1.745778221	1.734740189
0.2408521303	0.5210339256	0.6245606331	1.198694754	1.756005137	1.74481574
0.2441102757	0.5240684101	0.6281671988	1.198635878	1.766232054	1.754891292
0.2473684211	0.5271028947	0.6317737645	1.19857768	1.77645897	1.764966843
0.2506265664	0.5301373792	0.6353803302	1.198520148	1.786685887	1.775042394
0.2538847118	0.5331718638	0.6389868959	1.198463271	1.796912803	1.785117945
0.2571428571	0.5362063483	0.6425934616	1.198407038	1.80713972	1.795193496
0.2604010025	0.5392408329	0.6462000273	1.198351438	1.817366636	1.805269047
0.2636591479	0.5422753174	0.6498065929	1.198296459	1.827593553	1.815344598
0.2669172932	0.545309802	0.6534131586	1.198242093	1.837820469	1.825420149
0.2701754386	0.5483442865	0.6570197243	1.198188329	1.848047386	1.8354957
0.273433584	0.5513787711	0.66062629	1.198135156	1.858274302	1.845571252
0.2766917293	0.5544132556	0.6642328557	1.198082566	1.868501219	1.855646803
0.2799498747	0.5574477402	0.6678394214	1.198030548	1.878728135	1.865722354
0.2832080201	0.5604822248	0.6714459871	1.197979093	1.888955052	1.875797905
0.2864661654	0.5635167093	0.6750525528	1.197928192	1.899181969	1.885873456
0.2897243108	0.5665511939	0.6786591185	1.197877837	1.909408885	1.895949007
0.2929824561	0.5695856784	0.6822656842	1.197828018	1.919635802	1.906024558
0.2962406015	0.572620163	0.6858722499	1.197778727	1.929862718	1.916100109
0.2994987469	0.5756546475	0.6894788155	1.197729956	1.940089635	1.926175661
0.3027568922	0.5786891321	0.6930853812	1.197681696	1.950316551	1.936251212
0.3060150376	0.5817236166	0.6966919469	1.19763394	1.960543468	1.946326763
0.309273183	0.5847581012	0.7002985126	1.197586679	1.970770384	1.956402314
0.3125313283	0.5877925857	0.7039050783	1.197539907	1.980997301	1.966477865
