# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-8.097744361	0.9006683454	1.084396281	1.203990666	3.035461155	3.029444381
-8.052631579	0.8973037055	1.080349239	1.203995071	3.024121538	3.018138284
-8.007518797	0.8939390657	1.076302197	1.20399951	3.012781922	3.006832187
-7.962406015	0.8905744258	1.072255155	1.204003982	3.001442305	2.99552609
-7.917293233	0.887209786	1.068208112	1.204008487	2.990102689	2.984219994
-7.872180451	0.8838451461	1.06416107	1.204013027	2.978763073	2.972913897
-7.827067669	0.8804805062	1.060114028	1.204017602	2.967423456	2.9616078
-7.781954887	0.8771158664	1.056066986	1.204022212	2.95608384	2.950301703
-7.736842105	0.8737512265	1.052019943	1.204026857	2.944744223	2.938995606
-7.691729323	0.8703865867	1.047972901	1.204031539	2.933404607	2.927689509
-7.646616541	0.8670219468	1.043925859	1.204036256	2.92206499	2.916383413
-7.601503759	0.8636573069	1.039878817	1.204041011	2.910725374	2.905077316
-7.556390977	0.8602926671	1.035831775	1.204045802	2.899385757	2.893771219
-7.511278195	0.8569280272	1.031784732	1.204050631	2.888046141	2.882465122
-7.466165414	0.8535633874	1.02773769	1.204055499	2.876706524	2.871159025
-7.421052632	0.8501987475	1.023690648	1.204060404	2.865366908	2.859852928
-7.37593985	0.8468341076	1.019643606	1.204065349	2.854027291	2.848546832
-7.330827068	0.8434694678	1.015596563	1.204070333	2.842687675	2.837240735
-7.285714286	0.8401048279	1.011549521	1.204075358	2.831348059	2.825934638
-7.240601504	0.8367401881	1.007502479	1.204080422	2.820008442	2.814628541
-7.195488722	0.8333755482	1.003455437	1.204085528	2.808668826	2.803322444
-7.15037594	0.8300109083	0.9994083944	1.204090674	2.797329209	2.792016347
-7.105263158	0.8266462685	0.9953613522	1.204095863	2.785989593	2.780710251
-7.060150376	0.8232816286	0.9913143099	1.204101094	2.774649976	2.769404154
-7.015037594	0.8199169888	0.9872672677	1.204106368	2.76331036	2.758098057
-6.969924812	0.8165523489	0.9832202255	1.204111686	2.751970743	2.74679196
-6.92481203	0.813187709	0.9791731832	1.204117047	2.740631127	2.735485863
-6.879699248	0.8098230692	0.975126141	1.204122454	2.72929151	2.724179767
-6.834586466	0.8064584293	0.9710790987	1.204127905	2.717951894	2.71287367
-6.789473684	0.8030937895	0.9670320565	1.204133402	2.706612277	2.701567573
-6.744360902	0.7997291496	0.9629850143	1.204138945	2.695272661	2.690261476
-6.69924812	0.7963645097	0.958937972	1.204144535	2.683933045	2.678955379
-6.654135338	0.7929998699	0.9548909298	1.204150172	2.672593428	2.667649282
-6.609022556	0.78963523	0.9508438876	1.204155858	2.661253812	2.656343186
-6.563909774	0.7862705902	0.9467968453	1.204161592	2.649914195	2.645037089
-6.518796992	0.7829059503	0.9427498031	1.204167375	2.638574579	2.633730992
-6.473684211	0.7795413104	0.9387027609	1.204173208	2.627234962	2.622424895
-6.428571429	0.7761766706	0.9346557186	1.204179092	2.615895346	2.611118798
-6.383458647	0.7728120307	0.9306086764	1.204185027	2.604555729	2.599812701
-6.338345865	0.7694473909	0.9265616342	1.204191014	2.593216113	2.588506605
-6.293233083	0.766082751	0.9225145919	1.204197054	2.581876496	2.577200508
-6.248120301	0.7627181111	0.9184675497	1.204203147	2.57053688	2.565894411
