# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiq3st
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiq3st	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.01586466165	0.6890705539	0.8397074425	1.218608802	2.322327536	2.345864733
0.01601503759	0.6927895593	0.8442738429	1.218658439	2.334861446	2.358621745
0.01616541353	0.6965085646	0.8488402433	1.218707546	2.347395357	2.371378757
0.01631578947	0.70022757	0.8534066437	1.218756131	2.359929267	2.384135768
0.01646616541	0.7039465753	0.8579730441	1.218804202	2.372463177	2.39689278
0.01661654135	0.7076655807	0.8625394446	1.218851769	2.384997088	2.409649792
0.01676691729	0.711384586	0.867105845	1.218898838	2.397530998	2.422406804
0.01691729323	0.7151035913	0.8716722454	1.218945417	2.410064908	2.435163815
0.01706766917	0.7188225967	0.8762386458	1.218991514	2.422598818	2.447920827
0.01721804511	0.722541602	0.8808050462	1.219037137	2.435132729	2.460677839
0.01736842105	0.7262606074	0.8853714466	1.219082293	2.447666639	2.47343485
0.01751879699	0.7299796127	0.889937847	1.219126989	2.460200549	2.486191862
0.01766917293	0.733698618	0.8945042474	1.219171231	2.47273446	2.498948874
0.01781954887	0.7374176234	0.8990706478	1.219215027	2.48526837	2.511705885
0.01796992481	0.7411366287	0.9036370482	1.219258384	2.49780228	2.524462897
0.01812030075	0.7448556341	0.9082034486	1.219301308	2.510336191	2.537219909
0.01827067669	0.7485746394	0.912769849	1.219343805	2.522870101	2.54997692
0.01842105263	0.7522936447	0.9173362494	1.219385882	2.535404011	2.562733932
0.01857142857	0.7560126501	0.9219026498	1.219427545	2.547937921	2.575490944
0.01872180451	0.7597316554	0.9264690502	1.2194688	2.560471832	2.588247956
0.01887218045	0.7634506608	0.9310354506	1.219509653	2.573005742	2.601004967
0.01902255639	0.7671696661	0.935601851	1.21955011	2.585539652	2.613761979
0.01917293233	0.7708886714	0.9401682514	1.219590177	2.598073563	2.626518991
0.01932330827	0.7746076768	0.9447346518	1.219629859	2.610607473	2.639276002
0.01947368421	0.7783266821	0.9493010522	1.219669162	2.623141383	2.652033014
0.01962406015	0.7820456875	0.9538674526	1.219708091	2.635675294	2.664790026
0.01977443609	0.7857646928	0.958433853	1.219746652	2.648209204	2.677547037
0.01992481203	0.7894836982	0.9630002534	1.219784849	2.660743114	2.690304049
0.02007518797	0.7932027035	0.9675666538	1.219822688	2.673277024	2.703061061
0.02022556391	0.7969217088	0.9721330542	1.219860174	2.685810935	2.715818072
0.02037593985	0.8006407142	0.9766994546	1.219897311	2.698344845	2.728575084
0.02052631579	0.8043597195	0.981265855	1.219934106	2.710878755	2.741332096
0.02067669173	0.8080787249	0.9858322554	1.219970561	2.723412666	2.754089108
0.02082706767	0.8117977302	0.9903986558	1.220006683	2.735946576	2.766846119
0.02097744361	0.8155167355	0.9949650562	1.220042475	2.748480486	2.779603131
0.02112781955	0.8192357409	0.9995314566	1.220077942	2.761014396	2.792360143
0.02127819549	0.8229547462	1.004097857	1.220113088	2.773548307	2.805117154
0.02142857143	0.8266737516	1.008664257	1.220147919	2.786082217	2.817874166
0.02157894737	0.8303927569	1.013230658	1.220182437	2.798616127	2.830631178
0.02172932331	0.8341117622	1.017797058	1.220216648	2.811150038	2.843388189
0.02187969925	0.8378307676	1.022363459	1.220250554	2.823683948	2.856145201
0.02203007519	0.8415497729	1.026929859	1.220284162	2.836217858	2.868902213
0.02218045113	0.8452687783	1.031496259	1.220317473	2.848751769	2.881659224
0.02233082707	0.8489877836	1.03606266	1.220350492	2.861285679	2.894416236
0.02248120301	0.8527067889	1.04062906	1.220383224	2.873819589	2.907173248
0.02263157895	0.8564257943	1.045195461	1.220415671	2.886353499	2.91993026
0.02278195489	0.8601447996	1.049761861	1.220447838	2.89888741	2.932687271
0.02293233083	0.863863805	1.054328261	1.220479728	2.91142132	2.945444283
0.02308270677	0.8675828103	1.058894662	1.220511344	2.92395523	2.958201295
0.02323308271	0.8713018157	1.063461062	1.22054269	2.936489141	2.970958306
0.02338345865	0.875020821	1.068027463	1.22057377	2.949023051	2.983715318
0.02353383459	0.8787398263	1.072593863	1.220604587	2.961556961	2.99647233
0.02368421053	0.8824588317	1.077160263	1.220635144	2.974090871	3.009229341
0.02383458647	0.886177837	1.081726664	1.220665445	2.986624782	3.021986353
0.02398496241	0.8898968424	1.086293064	1.220695492	2.999158692	3.034743365
0.02413533835	0.8936158477	1.090859465	1.22072529	3.011692602	3.047500376
0.02428571429	0.897334853	1.095425865	1.22075484	3.024226513	3.060257388
0.02443609023	0.9010538584	1.099992265	1.220784147	3.036760423	3.0730144
0.02458646617	0.9047728637	1.104558666	1.220813212	3.049294333	3.085771411
0.02473684211	0.9084918691	1.109125066	1.220842039	3.061828244	3.098528423
0.02488721805	0.9122108744	1.113691467	1.220870632	3.074362154	3.111285435
