# VHH-NNLO SMEFT grid scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.46153846	-0.1794871795	1.133549414	1.366898004	1.205856566	3.820324353	3.818660713
-13.46153846	-0.1282051282	1.181311124	1.423664067	1.205155897	3.981292388	3.97724631
-13.46153846	-0.07692307692	1.229072833	1.480430131	1.204509685	4.142260423	4.135831908
-13.46153846	-0.02564102564	1.276834543	1.537196194	1.203911817	4.303228459	4.294417505
-13.46153846	0.02564102564	1.324596252	1.593962258	1.203357065	4.464196494	4.453003103
-13.46153846	0.07692307692	1.372357962	1.650728321	1.202840926	4.625164529	4.6115887
-13.46153846	0.1282051282	1.420119671	1.707494385	1.202359505	4.786132564	4.770174298
-13.46153846	0.1794871795	1.467881381	1.764260448	1.201909413	4.9471006	4.928759895
-13.46153846	0.2307692308	1.51564309	1.821026512	1.201487688	5.108068635	5.087345493
-13.46153846	0.2820512821	1.5634048	1.877792575	1.20109173	5.26903667	5.24593109
-13.46153846	0.3333333333	1.61116651	1.934558639	1.200719248	5.430004706	5.404516688
-13.46153846	0.3846153846	1.658928219	1.991324703	1.200368213	5.590972741	5.563102285
-13.46153846	0.4358974359	1.706689929	2.048090766	1.200036827	5.751940776	5.721687883
-13.46153846	0.4871794872	1.754451638	2.10485683	1.199723483	5.912908811	5.88027348
-13.46153846	0.5384615385	1.802213348	2.161622893	1.199426747	6.073876847	6.038859078
-13.46153846	0.5897435897	1.849975057	2.218388957	1.199145333	6.234844882	6.197444675
-13.46153846	0.641025641	1.897736767	2.27515502	1.198878085	6.395812917	6.356030273
-13.46153846	0.6923076923	1.945498476	2.331921084	1.198623958	6.556780953	6.51461587
-13.46153846	0.7435897436	1.993260186	2.388687147	1.19838201	6.717748988	6.673201468
-13.46153846	0.7948717949	2.041021895	2.445453211	1.198151385	6.878717023	6.831787065
-13.46153846	0.8461538462	2.088783605	2.502219274	1.197931307	7.039685058	6.990372663
-13.46153846	0.8974358974	2.136545314	2.558985338	1.197721069	7.200653094	7.14895826
-13.46153846	0.9487179487	2.184307024	2.615751401	1.197520025	7.361621129	7.307543858
-13.46153846	1	2.232068734	2.672517465	1.197327584	7.522589164	7.466129455
-12.94871795	-1	0.331114446	0.4126361481	1.246204003	1.115932456	1.152768855
-12.94871795	-0.9487179487	0.3788761555	0.4694022116	1.238933105	1.276900491	1.311354453
-12.94871795	-0.8974358974	0.4266378651	0.5261682751	1.233290147	1.437868526	1.46994005
-12.94871795	-0.8461538462	0.4743995746	0.5829343387	1.228783435	1.598836562	1.628525648
-12.94871795	-0.7948717949	0.5221612841	0.6397004022	1.225101174	1.759804597	1.787111245
-12.94871795	-0.7435897436	0.5699229937	0.6964664657	1.222036088	1.920772632	1.945696843
-12.94871795	-0.6923076923	0.6176847032	0.7532325293	1.21944501	2.081740667	2.10428244
-12.94871795	-0.641025641	0.6654464128	0.8099985928	1.217225876	2.242708703	2.262868038
-12.94871795	-0.5897435897	0.7132081223	0.8667646563	1.215303961	2.403676738	2.421453635
-12.94871795	-0.5384615385	0.7609698318	0.9235307199	1.213623302	2.564644773	2.580039233
-12.94871795	-0.4871794872	0.8087315414	0.9802967834	1.212141153	2.725612809	2.73862483
-12.94871795	-0.4358974359	0.8564932509	1.037062847	1.210824307	2.886580844	2.897210428
-12.94871795	-0.3846153846	0.9042549605	1.09382891	1.209646569	3.047548879	3.055796025
-12.94871795	-0.3333333333	0.95201667	1.150594974	1.208587003	3.208516914	3.214381623
-12.94871795	-0.2820512821	0.9997783795	1.207361038	1.207628673	3.36948495	3.37296722
-12.94871795	-0.2307692308	1.047540089	1.264127101	1.206757731	3.530452985	3.531552818
-12.94871795	-0.1794871795	1.095301799	1.320893165	1.205962746	3.69142102	3.690138415
-12.94871795	-0.1282051282	1.143063508	1.377659228	1.205234196	3.852389056	3.848724013
