# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-9.185463659	0.977571679	1.236001596	1.264359047	3.199812464	2.962063854
-9.135338346	0.9739042158	1.231533796	1.26453277	3.18780803	2.951356821
-9.085213033	0.9702367526	1.227065996	1.264707807	3.175803596	2.940649788
-9.035087719	0.9665692895	1.222598195	1.264884172	3.163799163	2.929942754
-8.984962406	0.9629018263	1.218130395	1.26506188	3.151794729	2.919235721
-8.934837093	0.9592343631	1.213662594	1.265240947	3.139790296	2.908528688
-8.884711779	0.9555669	1.209194794	1.265421389	3.127785862	2.897821654
-8.834586466	0.9518994368	1.204726993	1.265603221	3.115781428	2.887114621
-8.784461153	0.9482319736	1.200259193	1.26578646	3.103776995	2.876407588
-8.73433584	0.9445645105	1.195791392	1.265971121	3.091772561	2.865700554
-8.684210526	0.9408970473	1.191323592	1.266157222	3.079768127	2.854993521
-8.634085213	0.9372295841	1.186855791	1.26634478	3.067763694	2.844286488
-8.5839599	0.933562121	1.182387991	1.266533811	3.05575926	2.833579454
-8.533834586	0.9298946578	1.17792019	1.266724333	3.043754826	2.822872421
-8.483709273	0.9262271947	1.17345239	1.266916364	3.031750393	2.812165388
-8.43358396	0.9225597315	1.168984589	1.267109922	3.019745959	2.801458354
-8.383458647	0.9188922683	1.164516789	1.267305025	3.007741526	2.790751321
-8.333333333	0.9152248052	1.160048989	1.267501691	2.995737092	2.780044288
-8.28320802	0.911557342	1.155581188	1.26769994	2.983732658	2.769337255
-8.233082707	0.9078898788	1.151113388	1.267899791	2.971728225	2.758630221
-8.182957393	0.9042224157	1.146645587	1.268101263	2.959723791	2.747923188
-8.13283208	0.9005549525	1.142177787	1.268304376	2.947719357	2.737216155
-8.082706767	0.8968874893	1.137709986	1.268509149	2.935714924	2.726509121
-8.032581454	0.8932200262	1.133242186	1.268715605	2.92371049	2.715802088
-7.98245614	0.889552563	1.128774385	1.268923763	2.911706056	2.705095055
-7.932330827	0.8858850998	1.124306585	1.269133644	2.899701623	2.694388021
-7.882205514	0.8822176367	1.119838784	1.26934527	2.887697189	2.683680988
-7.832080201	0.8785501735	1.115370984	1.269558663	2.875692756	2.672973955
-7.781954887	0.8748827104	1.110903183	1.269773845	2.863688322	2.662266921
-7.731829574	0.8712152472	1.106435383	1.269990839	2.851683888	2.651559888
-7.681704261	0.867547784	1.101967582	1.270209668	2.839679455	2.640852855
-7.631578947	0.8638803209	1.097499782	1.270430354	2.827675021	2.630145822
-7.581453634	0.8602128577	1.093031982	1.270652922	2.815670587	2.619438788
-7.531328321	0.8565453945	1.088564181	1.270877397	2.803666154	2.608731755
-7.481203008	0.8528779314	1.084096381	1.271103801	2.79166172	2.598024722
-7.431077694	0.8492104682	1.07962858	1.271332162	2.779657286	2.587317688
-7.380952381	0.845543005	1.07516078	1.271562503	2.767652853	2.576610655
-7.330827068	0.8418755419	1.070692979	1.271794851	2.755648419	2.565903622
-7.280701754	0.8382080787	1.066225179	1.272029232	2.743643986	2.555196588
-7.230576441	0.8345406155	1.061757378	1.272265674	2.731639552	2.544489555
-7.180451128	0.8308731524	1.057289578	1.272504202	2.719635118	2.533782522
-7.130325815	0.8272056892	1.052821777	1.272744846	2.707630685	2.523075488
-7.080200501	0.823538226	1.048353977	1.272987633	2.695626251	2.512368455
-7.030075188	0.8198707629	1.043886176	1.273232592	2.683621817	2.501661422
-6.979949875	0.8162032997	1.039418376	1.273479752	2.671617384	2.490954388
-6.929824561	0.8125358366	1.034950576	1.273729144	2.65961295	2.480247355
-6.879699248	0.8088683734	1.030482775	1.273980797	2.647608516	2.469540322
-6.829573935	0.8052009102	1.026014975	1.274234743	2.635604083	2.458833289
-6.779448622	0.8015334471	1.021547174	1.274491012	2.623599649	2.448126255
-6.729323308	0.7978659839	1.017079374	1.274749637	2.611595216	2.437419222
-6.679197995	0.7941985207	1.012611573	1.275010651	2.599590782	2.426712189
-6.629072682	0.7905310576	1.008143773	1.275274087	2.587586348	2.416005155
-6.578947368	0.7868635944	1.003675972	1.275539978	2.575581915	2.405298122
-6.528822055	0.7831961312	0.9992081718	1.27580836	2.563577481	2.394591089
-6.478696742	0.7795286681	0.9947403713	1.276079267	2.551573047	2.383884055
-6.428571429	0.7758612049	0.9902725709	1.276352735	2.539568614	2.373177022
-6.378446115	0.7721937417	0.9858047704	1.276628801	2.52756418	2.362469989
-6.328320802	0.7685262786	0.9813369699	1.276907501	2.515559746	2.351762955
-6.278195489	0.7648588154	0.9768691695	1.277188874	2.503555313	2.341055922
-6.228070175	0.7611913523	0.972401369	1.277472959	2.491550879	2.330348889
-6.177944862	0.7575238891	0.9679335685	1.277759794	2.479546446	2.319641856
-6.127819549	0.7538564259	0.9634657681	1.27804942	2.467542012	2.308934822
-6.077694236	0.7501889628	0.9589979676	1.278341878	2.455537578	2.298227789
-6.027568922	0.7465214996	0.9545301671	1.27863721	2.443533145	2.287520756
-5.977443609	0.7428540364	0.9500623667	1.278935457	2.431528711	2.276813722
-5.927318296	0.7391865733	0.9455945662	1.279236664	2.419524277	2.266106689
-5.877192982	0.7355191101	0.9411267657	1.279540875	2.407519844	2.255399656
-5.827067669	0.7318516469	0.9366589653	1.279848135	2.39551541	2.244692622
-5.776942356	0.7281841838	0.9321911648	1.28015849	2.383510976	2.233985589
-5.726817043	0.7245167206	0.9277233643	1.280471986	2.371506543	2.223278556
-5.676691729	0.7208492574	0.9232555639	1.280788673	2.359502109	2.212571522
-5.626566416	0.7171817943	0.9187877634	1.281108599	2.347497676	2.201864489
-5.576441103	0.7135143311	0.914319963	1.281431813	2.335493242	2.191157456
-5.526315789	0.7098468679	0.9098521625	1.281758367	2.323488808	2.180450422
-5.476190476	0.7061794048	0.905384362	1.282088313	2.311484375	2.169743389
-5.426065163	0.7025119416	0.9009165616	1.282421704	2.299479941	2.159036356
-5.37593985	0.6988444785	0.8964487611	1.282758595	2.287475507	2.148329323
-5.325814536	0.6951770153	0.8919809606	1.28309904	2.275471074	2.137622289
-5.275689223	0.6915095521	0.8875131602	1.283443096	2.26346664	2.126915256
-5.22556391	0.687842089	0.8830453597	1.28379082	2.251462206	2.116208223
-5.175438596	0.6841746258	0.8785775592	1.284142273	2.239457773	2.105501189
-5.125313283	0.6805071626	0.8741097588	1.284497514	2.227453339	2.094794156
-5.07518797	0.6768396995	0.8696419583	1.284856605	2.215448906	2.084087123
-5.025062657	0.6731722363	0.8651741578	1.285219608	2.203444472	2.073380089
-4.974937343	0.6695047731	0.8607063574	1.285586589	2.191440038	2.062673056
-4.92481203	0.66583731	0.8562385569	1.285957612	2.179435605	2.051966023
-4.874686717	0.6621698468	0.8517707564	1.286332745	2.167431171	2.041258989
-4.824561404	0.6585023836	0.847302956	1.286712056	2.155426737	2.030551956
-4.77443609	0.6548349205	0.8428351555	1.287095616	2.143422304	2.019844923
-4.724310777	0.6511674573	0.838367355	1.287483497	2.13141787	2.00913789
