# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-12.94871795	0.6923076923	1.489636224	1.847544401	1.24026549	5.124344454	4.660718786
-12.94871795	0.7435897436	1.511573401	1.873511048	1.239444308	5.199808279	4.7262237
-12.94871795	0.7948717949	1.533510577	1.899477694	1.238646621	5.275272103	4.791728613
-12.94871795	0.8461538462	1.555447753	1.92544434	1.237871434	5.350735928	4.857233527
-12.94871795	0.8974358974	1.577384929	1.951410987	1.237117809	5.426199753	4.922738441
-12.94871795	0.9487179487	1.599322105	1.977377633	1.236384857	5.501663577	4.988243354
-12.94871795	1	1.621259281	2.003344279	1.235671741	5.577127402	5.053748268
-12.43589744	-1	0.7299554933	0.9470574666	1.297418096	2.511044859	2.389100107
-12.43589744	-0.9487179487	0.7518926695	0.9730241129	1.294099746	2.586508684	2.45460502
-12.43589744	-0.8974358974	0.7738298456	0.9989907592	1.290969539	2.661972509	2.520109934
-12.43589744	-0.8461538462	0.7957670218	1.024957406	1.288011915	2.737436334	2.585614847
-12.43589744	-0.7948717949	0.8177041979	1.050924052	1.285212984	2.812900158	2.651119761
-12.43589744	-0.7435897436	0.8396413741	1.076890698	1.282560307	2.888363983	2.716624674
-12.43589744	-0.6923076923	0.8615785502	1.102857344	1.280042713	2.963827808	2.782129588
-12.43589744	-0.641025641	0.8835157263	1.128823991	1.277650139	3.039291632	2.847634501
-12.43589744	-0.5897435897	0.9054529025	1.154790637	1.2753735	3.114755457	2.913139415
-12.43589744	-0.5384615385	0.9273900786	1.180757283	1.273204567	3.190219282	2.978644329
-12.43589744	-0.4871794872	0.9493272548	1.20672393	1.271135874	3.265683107	3.044149242
-12.43589744	-0.4358974359	0.9712644309	1.232690576	1.269160629	3.341146931	3.109654156
-12.43589744	-0.3846153846	0.9932016071	1.258657222	1.26727264	3.416610756	3.175159069
-12.43589744	-0.3333333333	1.015138783	1.284623869	1.265466249	3.492074581	3.240663983
-12.43589744	-0.2820512821	1.037075959	1.310590515	1.26373628	3.567538405	3.306168896
-12.43589744	-0.2307692308	1.059013136	1.336557161	1.262077982	3.64300223	3.37167381
-12.43589744	-0.1794871795	1.080950312	1.362523808	1.260486993	3.718466055	3.437178723
-12.43589744	-0.1282051282	1.102887488	1.388490454	1.258959295	3.79392988	3.502683637
-12.43589744	-0.07692307692	1.124824664	1.4144571	1.257491186	3.869393704	3.56818855
-12.43589744	-0.02564102564	1.14676184	1.440423746	1.256079245	3.944857529	3.633693464
-12.43589744	0.02564102564	1.168699016	1.466390393	1.254720311	4.020321354	3.699198377
