# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.3929824561	0.4588059549	0.595394122	1.297703562	1.578291204	1.501974495
0.3964912281	0.4603069196	0.5971707873	1.297331763	1.583454518	1.50645641
0.4	0.4618078842	0.5989474526	1.29696238	1.588617833	1.510938326
0.4035087719	0.4633088489	0.6007241179	1.29659539	1.593781147	1.515420241
0.4070175439	0.4648098136	0.6025007831	1.296230771	1.598944461	1.519902156
0.4105263158	0.4663107783	0.6042774484	1.295868499	1.604107776	1.524384071
0.4140350877	0.467811743	0.6060541137	1.295508552	1.60927109	1.528865986
0.4175438596	0.4693127077	0.607830779	1.295150907	1.614434404	1.533347901
0.4210526316	0.4708136723	0.6096074442	1.294795542	1.619597719	1.537829816
0.4245614035	0.472314637	0.6113841095	1.294442436	1.624761033	1.542311732
0.4280701754	0.4738156017	0.6131607748	1.294091568	1.629924347	1.546793647
0.4315789474	0.4753165664	0.61493744	1.293742915	1.635087662	1.551275562
0.4350877193	0.4768175311	0.6167141053	1.293396457	1.640250976	1.555757477
0.4385964912	0.4783184958	0.6184907706	1.293052174	1.64541429	1.560239392
0.4421052632	0.4798194604	0.6202674359	1.292710044	1.650577605	1.564721307
0.4456140351	0.4813204251	0.6220441011	1.292370048	1.655740919	1.569203222
0.449122807	0.4828213898	0.6238207664	1.292032167	1.660904233	1.573685138
0.4526315789	0.4843223545	0.6255974317	1.291696379	1.666067548	1.578167053
0.4561403509	0.4858233192	0.627374097	1.291362667	1.671230862	1.582648968
0.4596491228	0.4873242839	0.6291507622	1.29103101	1.676394176	1.587130883
0.4631578947	0.4888252485	0.6309274275	1.290701389	1.681557491	1.591612798
0.4666666667	0.4903262132	0.6327040928	1.290373787	1.686720805	1.596094713
0.4701754386	0.4918271779	0.6344807581	1.290048185	1.691884119	1.600576628
0.4736842105	0.4933281426	0.6362574233	1.289724563	1.697047433	1.605058544
0.4771929825	0.4948291073	0.6380340886	1.289402905	1.702210748	1.609540459
0.4807017544	0.496330072	0.6398107539	1.289083193	1.707374062	1.614022374
0.4842105263	0.4978310366	0.6415874192	1.288765408	1.712537376	1.618504289
0.4877192982	0.4993320013	0.6433640844	1.288449534	1.717700691	1.622986204
0.4912280702	0.500832966	0.6451407497	1.288135553	1.722864005	1.627468119
0.4947368421	0.5023339307	0.646917415	1.287823449	1.728027319	1.631950034
0.498245614	0.5038348954	0.6486940803	1.287513204	1.733190634	1.636431949
0.501754386	0.5053358601	0.6504707455	1.287204802	1.738353948	1.640913865
0.5052631579	0.5068368248	0.6522474108	1.286898226	1.743517262	1.64539578
0.5087719298	0.5083377894	0.6540240761	1.286593461	1.748680577	1.649877695
0.5122807018	0.5098387541	0.6558007413	1.286290491	1.753843891	1.65435961
0.5157894737	0.5113397188	0.6575774066	1.285989299	1.759007205	1.658841525
0.5192982456	0.5128406835	0.6593540719	1.28568987	1.76417052	1.66332344
0.5228070175	0.5143416482	0.6611307372	1.285392189	1.769333834	1.667805355
0.5263157895	0.5158426129	0.6629074024	1.28509624	1.774497148	1.672287271
0.5298245614	0.5173435775	0.6646840677	1.284802009	1.779660463	1.676769186
0.5333333333	0.5188445422	0.666460733	1.28450948	1.784823777	1.681251101
0.5368421053	0.5203455069	0.6682373983	1.284218638	1.789987091	1.685733016
0.5403508772	0.5218464716	0.6700140635	1.28392947	1.795150406	1.690214931
0.5438596491	0.5233474363	0.6717907288	1.28364196	1.80031372	1.694696846
0.5473684211	0.524848401	0.6735673941	1.283356095	1.805477034	1.699178761
0.550877193	0.5263493656	0.6753440594	1.28307186	1.810640349	1.703660677
0.5543859649	0.5278503303	0.6771207246	1.282789241	1.815803663	1.708142592
0.5578947368	0.529351295	0.6788973899	1.282508225	1.820966977	1.712624507
0.5614035088	0.5308522597	0.6806740552	1.282228799	1.826130292	1.717106422
0.5649122807	0.5323532244	0.6824507205	1.281950948	1.831293606	1.721588337
0.5684210526	0.5338541891	0.6842273857	1.281674659	1.83645692	1.726070252
0.5719298246	0.5353551537	0.686004051	1.28139992	1.841620235	1.730552167
0.5754385965	0.5368561184	0.6877807163	1.281126717	1.846783549	1.735034082
0.5789473684	0.5383570831	0.6895573815	1.280855037	1.851946863	1.739515998
0.5824561404	0.5398580478	0.6913340468	1.280584868	1.857110177	1.743997913
0.5859649123	0.5413590125	0.6931107121	1.280316197	1.862273492	1.748479828
0.5894736842	0.5428599772	0.6948873774	1.280049012	1.867436806	1.752961743
0.5929824561	0.5443609418	0.6966640426	1.2797833	1.87260012	1.757443658
0.5964912281	0.5458619065	0.6984407079	1.27951905	1.877763435	1.761925573
0.6	0.5473628712	0.7002173732	1.279256249	1.882926749	1.766407488
0.6035087719	0.5488638359	0.7019940385	1.278994885	1.888090063	1.770889404
