# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: tphi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
tphi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-9.536340852	0.2906979103	0.4342450425	1.493801734	1	1.095450819
-9.486215539	0.2906979103	0.4340461598	1.493117578	1	1.094949106
-9.436090226	0.2906979103	0.4338472771	1.492433422	1	1.094447394
-9.385964912	0.2906979103	0.4336483944	1.491749266	1	1.093945681
-9.335839599	0.2906979103	0.4334495117	1.49106511	1	1.093443969
-9.285714286	0.2906979103	0.433250629	1.490380955	1	1.092942256
-9.235588972	0.2906979103	0.4330517464	1.489696799	1	1.092440543
-9.185463659	0.2906979103	0.4328528637	1.489012643	1	1.091938831
-9.135338346	0.2906979103	0.432653981	1.488328487	1	1.091437118
-9.085213033	0.2906979103	0.4324550983	1.487644331	1	1.090935406
-9.035087719	0.2906979103	0.4322562156	1.486960175	1	1.090433693
-8.984962406	0.2906979103	0.4320573329	1.486276019	1	1.08993198
-8.934837093	0.2906979103	0.4318584502	1.485591863	1	1.089430268
-8.884711779	0.2906979103	0.4316595675	1.484907707	1	1.088928555
-8.834586466	0.2906979103	0.4314606849	1.484223552	1	1.088426843
-8.784461153	0.2906979103	0.4312618022	1.483539396	1	1.08792513
-8.73433584	0.2906979103	0.4310629195	1.48285524	1	1.087423418
-8.684210526	0.2906979103	0.4308640368	1.482171084	1	1.086921705
-8.634085213	0.2906979103	0.4306651541	1.481486928	1	1.086419992
-8.5839599	0.2906979103	0.4304662714	1.480802772	1	1.08591828
-8.533834586	0.2906979103	0.4302673887	1.480118616	1	1.085416567
-8.483709273	0.2906979103	0.4300685061	1.47943446	1	1.084914855
-8.43358396	0.2906979103	0.4298696234	1.478750304	1	1.084413142
-8.383458647	0.2906979103	0.4296707407	1.478066149	1	1.083911429
-8.333333333	0.2906979103	0.429471858	1.477381993	1	1.083409717
-8.28320802	0.2906979103	0.4292729753	1.476697837	1	1.082908004
-8.233082707	0.2906979103	0.4290740926	1.476013681	1	1.082406292
-8.182957393	0.2906979103	0.4288752099	1.475329525	1	1.081904579
-8.13283208	0.2906979103	0.4286763272	1.474645369	1	1.081402867
-8.082706767	0.2906979103	0.4284774446	1.473961213	1	1.080901154
-8.032581454	0.2906979103	0.4282785619	1.473277057	1	1.080399441
-7.98245614	0.2906979103	0.4280796792	1.472592901	1	1.079897729
-7.932330827	0.2906979103	0.4278807965	1.471908746	1	1.079396016
-7.882205514	0.2906979103	0.4276819138	1.47122459	1	1.078894304
-7.832080201	0.2906979103	0.4274830311	1.470540434	1	1.078392591
-7.781954887	0.2906979103	0.4272841484	1.469856278	1	1.077890878
-7.731829574	0.2906979103	0.4270852658	1.469172122	1	1.077389166
-7.681704261	0.2906979103	0.4268863831	1.468487966	1	1.076887453
-7.631578947	0.2906979103	0.4266875004	1.46780381	1	1.076385741
-7.581453634	0.2906979103	0.4264886177	1.467119654	1	1.075884028
-7.531328321	0.2906979103	0.426289735	1.466435499	1	1.075382316
-7.481203008	0.2906979103	0.4260908523	1.465751343	1	1.074880603
-7.431077694	0.2906979103	0.4258919696	1.465067187	1	1.07437889
-7.380952381	0.2906979103	0.425693087	1.464383031	1	1.073877178
-7.330827068	0.2906979103	0.4254942043	1.463698875	1	1.073375465
-7.280701754	0.2906979103	0.4252953216	1.463014719	1	1.072873753
-7.230576441	0.2906979103	0.4250964389	1.462330563	1	1.07237204
-7.180451128	0.2906979103	0.4248975562	1.461646407	1	1.071870327
