# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-1.917293233	0.4243718641	0.5593695463	1.318111764	1.459838028	1.411096887
-1.872180451	0.4212265946	0.5555351478	1.318851077	1.44901831	1.401424019
-1.827067669	0.4180813251	0.5517007494	1.319601513	1.438198591	1.391751151
-1.781954887	0.4149360556	0.5478663509	1.320363327	1.427378873	1.382078283
-1.736842105	0.4117907861	0.5440319524	1.321136778	1.416559155	1.372405415
-1.691729323	0.4086455166	0.540197554	1.321922135	1.405739436	1.362732547
-1.646616541	0.4055002471	0.5363631555	1.322719676	1.394919718	1.353059679
-1.601503759	0.4023549776	0.532528757	1.323529686	1.3841	1.343386811
-1.556390977	0.3992097081	0.5286943585	1.324352459	1.373280282	1.333713943
-1.511278195	0.3960644386	0.5248599601	1.3251883	1.362460563	1.324041075
-1.466165414	0.3929191691	0.5210255616	1.326037523	1.351640845	1.314368208
-1.421052632	0.3897738996	0.5171911631	1.326900451	1.340821127	1.30469534
-1.37593985	0.3866286301	0.5133567647	1.327777419	1.330001408	1.295022472
-1.330827068	0.3834833606	0.5095223662	1.328668773	1.31918169	1.285349604
-1.285714286	0.3803380911	0.5056879677	1.329574869	1.308361972	1.275676736
-1.240601504	0.3771928216	0.5018535693	1.330496077	1.297542253	1.266003868
-1.195488722	0.3740475521	0.4980191708	1.331432776	1.286722535	1.256331
-1.15037594	0.3709022826	0.4941847723	1.332385363	1.275902817	1.246658132
-1.105263158	0.3677570131	0.4903503739	1.333354243	1.265083098	1.236985264
-1.060150376	0.3646117436	0.4865159754	1.334339839	1.25426338	1.227312396
-1.015037594	0.3614664741	0.4826815769	1.335342588	1.243443662	1.217639528
-0.969924812	0.3583212046	0.4788471784	1.33636294	1.232623944	1.20796666
-0.9248120301	0.3551759351	0.47501278	1.337401364	1.221804225	1.198293792
-0.8796992481	0.3520306656	0.4711783815	1.338458344	1.210984507	1.188620925
-0.8345864662	0.3488853961	0.467343983	1.339534381	1.200164789	1.178948057
-0.7894736842	0.3457401266	0.4635095846	1.340629996	1.18934507	1.169275189
-0.7443609023	0.3425948571	0.4596751861	1.341745729	1.178525352	1.159602321
-0.6992481203	0.3394495876	0.4558407876	1.342882137	1.167705634	1.149929453
-0.6541353383	0.3363043181	0.4520063892	1.344039802	1.156885915	1.140256585
-0.6090225564	0.3331590486	0.4481719907	1.345219326	1.146066197	1.130583717
-0.5639097744	0.3300137791	0.4443375922	1.346421333	1.135246479	1.120910849
-0.5187969925	0.3268685096	0.4405031938	1.347646472	1.124426761	1.111237981
-0.4736842105	0.3237232401	0.4366687953	1.348895418	1.113607042	1.101565113
-0.4285714286	0.3205779706	0.4328343968	1.350168872	1.102787324	1.091892245
-0.3834586466	0.3174327011	0.4289999984	1.351467561	1.091967606	1.082219377
-0.3383458647	0.3142874316	0.4251655999	1.352792244	1.081147887	1.072546509
-0.2932330827	0.3111421621	0.4213312014	1.354143709	1.070328169	1.062873642
