# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-14.48717949	-0.07692307692	0.716392275	0.8357944216	1.16667146	4.480449788	4.466268148
-14.48717949	-0.02564102564	0.7411085132	0.864635904	1.166679223	4.635029713	4.620389533
-14.48717949	0.02564102564	0.7658247513	0.8934773865	1.166686484	4.789609637	4.774510919
-14.48717949	0.07692307692	0.7905409895	0.9223188689	1.166693291	4.944189562	4.928632304
-14.48717949	0.1282051282	0.8152572276	0.9511603513	1.166699686	5.098769487	5.08275369
-14.48717949	0.1794871795	0.8399734657	0.9800018338	1.166705704	5.253349411	5.236875076
-14.48717949	0.2307692308	0.8646897039	1.008843316	1.166711378	5.407929336	5.390996461
-14.48717949	0.2820512821	0.889405942	1.037684799	1.166716737	5.562509261	5.545117847
-14.48717949	0.3333333333	0.9141221802	1.066526281	1.166721806	5.717089186	5.699239232
-14.48717949	0.3846153846	0.9388384183	1.095367764	1.166726608	5.87166911	5.853360618
-14.48717949	0.4358974359	0.9635546565	1.124209246	1.166731164	6.026249035	6.007482004
-14.48717949	0.4871794872	0.9882708946	1.153050728	1.166735492	6.18082896	6.161603389
-14.48717949	0.5384615385	1.012987133	1.181892211	1.166739609	6.335408885	6.315724775
-14.48717949	0.5897435897	1.037703371	1.210733693	1.166743529	6.489988809	6.46984616
-14.48717949	0.641025641	1.062419609	1.239575176	1.166747267	6.644568734	6.623967546
-14.48717949	0.6923076923	1.087135847	1.268416658	1.166750836	6.799148659	6.778088932
-14.48717949	0.7435897436	1.111852085	1.297258141	1.166754245	6.953728583	6.932210317
-14.48717949	0.7948717949	1.136568323	1.326099623	1.166757506	7.108308508	7.086331703
-14.48717949	0.8461538462	1.161284562	1.354941105	1.166760629	7.262888433	7.240453088
-14.48717949	0.8974358974	1.1860008	1.383782588	1.166763621	7.417468358	7.394574474
-14.48717949	0.9487179487	1.210717038	1.41262407	1.166766491	7.572048282	7.54869586
-14.48717949	1	1.235433276	1.441465553	1.166769247	7.726628207	7.702817245
-13.97435897	-1	0.2504885302	0.2921549309	1.166340553	1.566601597	1.561200013
-13.97435897	-0.9487179487	0.2752047683	0.3209964133	1.166391176	1.721181521	1.715321399
-13.97435897	-0.8974358974	0.2999210065	0.3498378957	1.166433455	1.875761446	1.869442784
-13.97435897	-0.8461538462	0.3246372446	0.3786793782	1.166469296	2.030341371	2.02356417
-13.97435897	-0.7948717949	0.3493534828	0.4075208606	1.166500066	2.184921296	2.177685555
-13.97435897	-0.7435897436	0.3740697209	0.4363623431	1.166526769	2.33950122	2.331806941
-13.97435897	-0.6923076923	0.3987859591	0.4652038255	1.166550163	2.494081145	2.485928327
-13.97435897	-0.641025641	0.4235021972	0.4940453079	1.166570826	2.64866107	2.640049712
-13.97435897	-0.5897435897	0.4482184353	0.5228867904	1.16658921	2.803240995	2.794171098
-13.97435897	-0.5384615385	0.4729346735	0.5517282728	1.166605672	2.957820919	2.948292483
-13.97435897	-0.4871794872	0.4976509116	0.5805697552	1.1666205	3.112400844	3.102413869
-13.97435897	-0.4358974359	0.5223671498	0.6094112377	1.166633924	3.266980769	3.256535255
-13.97435897	-0.3846153846	0.5470833879	0.6382527201	1.166646135	3.421560693	3.41065664
-13.97435897	-0.3333333333	0.5717996261	0.6670942025	1.166657291	3.576140618	3.564778026
-13.97435897	-0.2820512821	0.5965158642	0.695935685	1.166667522	3.730720543	3.718899411
-13.97435897	-0.2307692308	0.6212321023	0.7247771674	1.166676939	3.885300468	3.873020797
-13.97435897	-0.1794871795	0.6459483405	0.7536186498	1.166685635	4.039880392	4.027142183
-13.97435897	-0.1282051282	0.6706645786	0.7824601323	1.16669369	4.194460317	4.181263568
-13.97435897	-0.07692307692	0.6953808168	0.8113016147	1.166701173	4.349040242	4.335384954
-13.97435897	-0.02564102564	0.7200970549	0.8401430971	1.166708142	4.503620167	4.489506339
-13.97435897	0.02564102564	0.7448132931	0.8689845796	1.166714649	4.658200091	4.643627725
