# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-11.12030075	0.6155177199	0.7182512394	1.166905868	3.849561663	3.838147934
-11.07518797	0.6136693435	0.716096609	1.166909536	3.838001575	3.826634149
-11.03007519	0.6118209671	0.7139419786	1.166913226	3.826441487	3.815120364
-10.98496241	0.6099725907	0.7117873482	1.166916939	3.814881399	3.80360658
-10.93984962	0.6081242143	0.7096327178	1.166920674	3.803321311	3.792092795
-10.89473684	0.6062758379	0.7074780875	1.166924431	3.791761224	3.78057901
-10.84962406	0.6044274615	0.7053234571	1.166928212	3.780201136	3.769065226
-10.80451128	0.6025790851	0.7031688267	1.166932016	3.768641048	3.757551441
-10.7593985	0.6007307087	0.7010141963	1.166935844	3.75708096	3.746037656
-10.71428571	0.5988823323	0.6988595659	1.166939695	3.745520872	3.734523871
-10.66917293	0.5970339559	0.6967049355	1.166943569	3.733960784	3.723010087
-10.62406015	0.5951855795	0.6945503052	1.166947468	3.722400696	3.711496302
-10.57894737	0.5933372031	0.6923956748	1.166951392	3.710840608	3.699982517
-10.53383459	0.5914888267	0.6902410444	1.166955339	3.699280521	3.688468732
-10.4887218	0.5896404503	0.688086414	1.166959312	3.687720433	3.676954948
-10.44360902	0.5877920739	0.6859317836	1.166963309	3.676160345	3.665441163
-10.39849624	0.5859436975	0.6837771533	1.166967332	3.664600257	3.653927378
-10.35338346	0.5840953211	0.6816225229	1.16697138	3.653040169	3.642413594
-10.30827068	0.5822469447	0.6794678925	1.166975454	3.641480081	3.630899809
-10.26315789	0.5803985683	0.6773132621	1.166979554	3.629919993	3.619386024
-10.21804511	0.5785501919	0.6751586317	1.16698368	3.618359905	3.607872239
-10.17293233	0.5767018155	0.6730040014	1.166987832	3.606799817	3.596358455
-10.12781955	0.5748534391	0.670849371	1.166992011	3.59523973	3.58484467
-10.08270677	0.5730050627	0.6686947406	1.166996217	3.583679642	3.573330885
-10.03759398	0.5711566863	0.6665401102	1.167000451	3.572119554	3.561817101
-9.992481203	0.5693083099	0.6643854798	1.167004711	3.560559466	3.550303316
-9.947368421	0.5674599335	0.6622308494	1.167009	3.548999378	3.538789531
-9.902255639	0.5656115571	0.6600762191	1.167013317	3.53743929	3.527275746
-9.857142857	0.5637631807	0.6579215887	1.167017661	3.525879202	3.515761962
-9.812030075	0.5619148043	0.6557669583	1.167022035	3.514319114	3.504248177
-9.766917293	0.5600664279	0.6536123279	1.167026437	3.502759027	3.492734392
-9.721804511	0.5582180515	0.6514576975	1.167030869	3.491198939	3.481220607
-9.676691729	0.5563696751	0.6493030672	1.16703533	3.479638851	3.469706823
-9.631578947	0.5545212987	0.6471484368	1.16703982	3.468078763	3.458193038
-9.586466165	0.5526729223	0.6449938064	1.167044341	3.456518675	3.446679253
-9.541353383	0.5508245459	0.642839176	1.167048892	3.444958587	3.435165469
-9.496240602	0.5489761695	0.6406845456	1.167053474	3.433398499	3.423651684
-9.45112782	0.547127793	0.6385299153	1.167058087	3.421838411	3.412137899
-9.406015038	0.5452794166	0.6363752849	1.16706273	3.410278323	3.400624114
-9.360902256	0.5434310402	0.6342206545	1.167067406	3.398718236	3.38911033
-9.315789474	0.5415826638	0.6320660241	1.167072113	3.387158148	3.377596545
-9.270676692	0.5397342874	0.6299113937	1.167076853	3.37559806	3.36608276
-9.22556391	0.537885911	0.6277567633	1.167081625	3.364037972	3.354568976
-9.180451128	0.5360375346	0.625602133	1.167086431	3.352477884	3.343055191
-9.135338346	0.5341891582	0.6234475026	1.167091269	3.340917796	3.331541406
-9.090225564	0.5323407818	0.6212928722	1.167096141	3.329357708	3.320027621
-9.045112782	0.5304924054	0.6191382418	1.167101047	3.31779762	3.308513837
-9	0.528644029	0.6169836114	1.167105987	3.306237533	3.297000052
-8.954887218	0.5267956526	0.6148289811	1.167110962	3.294677445	3.285486267
-8.909774436	0.5249472762	0.6126743507	1.167115972	3.283117357	3.273972483
-8.864661654	0.5230988998	0.6105197203	1.167121018	3.271557269	3.262458698
-8.819548872	0.5212505234	0.6083650899	1.167126099	3.259997181	3.250944913
-8.77443609	0.519402147	0.6062104595	1.167131216	3.248437093	3.239431128
-8.729323308	0.5175537706	0.6040558292	1.16713637	3.236877005	3.227917344
-8.684210526	0.5157053942	0.6019011988	1.167141561	3.225316917	3.216403559
-8.639097744	0.5138570178	0.5997465684	1.167146789	3.213756829	3.204889774
-8.593984962	0.5120086414	0.597591938	1.167152055	3.202196742	3.193375989
-8.54887218	0.510160265	0.5954373076	1.167157359	3.190636654	3.181862205
-8.503759398	0.5083118886	0.5932826772	1.167162702	3.179076566	3.17034842
-8.458646617	0.5064635122	0.5911280469	1.167168083	3.167516478	3.158834635
-8.413533835	0.5046151358	0.5889734165	1.167173505	3.15595639	3.147320851
-8.368421053	0.5027667594	0.5868187861	1.167178965	3.144396302	3.135807066
-8.323308271	0.500918383	0.5846641557	1.167184467	3.132836214	3.124293281
-8.278195489	0.4990700066	0.5825095253	1.167190009	3.121276126	3.112779496
-8.233082707	0.4972216302	0.580354895	1.167195592	3.109716039	3.101265712
-8.187969925	0.4953732538	0.5782002646	1.167201217	3.098155951	3.089751927
-8.142857143	0.4935248774	0.5760456342	1.167206884	3.086595863	3.078238142
-8.097744361	0.491676501	0.5738910038	1.167212593	3.075035775	3.066724358
-8.052631579	0.4898281246	0.5717363734	1.167218346	3.063475687	3.055210573
-8.007518797	0.4879797482	0.5695817431	1.167224142	3.051915599	3.043696788
-7.962406015	0.4861313718	0.5674271127	1.167229983	3.040355511	3.032183003
-7.917293233	0.4842829954	0.5652724823	1.167235868	3.028795423	3.020669219
-7.872180451	0.482434619	0.5631178519	1.167241798	3.017235335	3.009155434
-7.827067669	0.4805862426	0.5609632215	1.167247773	3.005675248	2.997641649
